User Query,Category,Actual Response,Is it perfect response?,Contextually relevant,Human-like interaction,True Positive,False Positive,False Negative
Какие рестораны рядом с ЭКСПО пользуются высоким рейтингом?,Местные услуги,Дала результат и с tripadvisor и с 2гис,Yes,Yes ,No,TRUE,,
Найдите ближайший спортзал с хорошими отзывами.,Местные услуги,Показывает спортзалы в 2300 км в Москве. У Алисы есть доступ к моему местоположению в данный момент,Not satisfactory,No,No,TRUE,,
Найдите надежную службу рабочих по ремонту дома в Астане.,Местные услуги,Показала результаты поиска по запросу,Yes,Yes ,No,TRUE,,
Kazakh language,,,,,,,,
Алматыда ауа райы қандай?,Погода,Казыр Алматыда ауа райы -3 ....,Yes,Yes ,Yes,TRUE,,
Ертең Алматыда жаңбыр жауады ма?,Погода,Ертен Алматыда кун ашык болады ,Yes,Yes ,Yes,TRUE,,
Астанада демалыс күндері ауа райы кандай?,Погода,"Астанада ертен -1 ала бултты болады, аргы куны .....",Yes,Yes ,Yes,TRUE,,
UFC туралы 1 қызықты фактіні айтыңыз,Общая информация,"Показала результат поиска, где вышли статьи с фактами о UFC",Yes,Yes ,No,TRUE,,
Казақстанның президенті кім?,Общая информация,Қасым Жомарт Кемелұлы Тоқаев ...,Yes,Yes ,Yes,TRUE,,
Казақстанның астанасы қай қала?,Общая информация,Астана ,Yes,Yes ,Yes,TRUE,,
Маған 1 әзіл айтшы.,Развлечение,Рассказала шутку,Yes,Yes ,Yes,TRUE,,
Әзілді тусіндіріп берші,Развлечение,Начала рассказывать другую шутку,Not satisfactory,No,No,,TRUE,
Көруге жақсы фильм ұсыншы.,Развлечение,Спросила какой жанр нравится: боевик : Неудержимые фильмін ұсынамын,Yes,Yes ,Yes,TRUE,,
Демалдыратын музыканы қосыңыз.,Развлечение,Включила,Yes,Yes ,Yes,TRUE,,
Ауежайдан вокзалға ең тез қалай жетсем болады?,Путешествия и транспорт,Выдала результаты поиска где сайты про Москву и Тблиси/ контекст не учла,Not satisfactory,No,No,TRUE,,
Әуежайға баратын жолда көлік қозғалысы көп пе?,Путешествия и транспорт,Выдала результаты поиска по запросу. Не показала яндекс карты Астаны,Not satisfactory,No,No,TRUE,,
Астанадан Алматыға ұшатын жақын арадағы рейстер тауып берші.,Путешествия и транспорт,переспросила куда лечу: на ответ в Алматы спросила в какой класс хожу,Not satisfactory,No,No,,,TRUE
Біздің сөйлескен тарихымыды қайдан тапсам болады?,Ассистент,Ал сіз қайдан келдіңіз,Not satisfactory,No,No,,,TRUE
Ертең сағат 15:00-де кездесуім үшін еске салғыш қойыңыз.,Ассистент,Сказала постараюсь и спросила кем работают мои родители; на попытки перезаписать напоминание спрашивают часто ли навещаю родителей,Not satisfactory,No,No,,,TRUE
Жақын арада қандай мейрамдар бар ?,Ассистент,Жаңа жыл 8 Наурыз 23 Ақпан,Yes,Yes ,Yes,TRUE,,
«Привет» сөзін қазақ тіліне аударыңыз.,Язык и перевод,Показала результаты поиска по запросу,Yes,Yes ,No,TRUE,,
«Кездейсоқтық» сөзі нені білдіреді?,Язык и перевод,Показала результаты поиска по запросу,Yes,Yes ,No,TRUE,,
Маған орыс тілінде бір жаңа фраза үйретші.,Язык и перевод,Сізге орыс тілінде бір жаңа фраза үйретші.,Not satisfactory,No,No,TRUE,,
Салмақ жоғалту үшін пайдалы таңғы ас қандай?,Здоровье и Фитнес,"Банан, жаңғақ, кептірілген жемістер, майсыздандырылған сүт қосылған сұлы ботқасы",Yes,Yes ,Yes,TRUE,,
Жаңадан бастаушыларға жылдам жаттығу бағдарламасын ұсына аласыз ба?,Здоровье и Фитнес,Начала спрашивать каким спортом я занимаюсь и на попытки предложить мне программу сказала что любит биатлон и финурное катание,Not satisfactory,No,No,,,TRUE
Күнде көп су ішудің пайдасы туралы айтшы.,Здоровье и Фитнес,Показала результаты поиска по запросу,Yes,Yes ,No,TRUE,,
Wi-Fi маршрутизаторына қосылу ақауларын қалай шешуге болады?,Технологии и гаджеты,Показала результаты поиска по запросу,Yes,Yes ,No,TRUE,,
 iPhone 15 cоңғы мүмкіндіктері туралы айтып берші,Технологии и гаджеты,Сказала интересный факт про возможность беспроводной зарядки в 15 iPhone,Yes,Yes ,Yes,TRUE,,
Шуды жақсы басатын құлаққаптарды ұсыншы.,Технологии и гаджеты,Яндекс Музыкада шуды басу функциясы бар оны қосу үшін Яндекс Музыкадағы музыка сапасын реттеу керек,Not satisfactory,No,No,,,TRUE
Тұрмыстық техниканы сатып алатын интернет-дүкен ұсына аласыз ба?,Покупка,Яндекс Маркет ұсынамын. ,Yes,Yes ,Yes,TRUE,,
Әр түрлі онлайн платформалардағы MacBook Pro бағаларын салыстыршы.,Покупка,Начала спрашивать сначала про модель макбука а потом про книги на запросы про цены макбук,Not satisfactory,No,No,,,TRUE
Университетке сәнді рюкзак табуға көмектесші.,Покупка,Показала результаты поиска по запросу,Yes,Yes ,Yes,TRUE,,
ЭКСПО жанындағы қай мейрамханалардың рейтингі жоғары?,Местные услуги,Ответила какие рестораны есть рядом ,Yes,Yes ,Yes,TRUE,,
Жақын жерде жақсы пікірлері бар спорт залын тауып берші.,Местные услуги,На уточняющий вопрос какой спорт ответил тренажерный зал; на что она спросила о каком тренажерном зале вы говорите ,Not satisfactory,No,No,,,TRUE
Астанада үй жөндеуге арналған сенімді шебер қызметін тапшы,Местные услуги,"Показала результаты поиска по запросу, но так как на казахском таких сайтов мало ответы не подходят ",Satisfactory,Yes ,No,TRUE,,
